group,variable,value
Mucositis,12,-16.22444287
Mucositis,12,-6.169399159
Periimplantitis,12,-14.25250867
Periimplantitis,12,-10.77690941
Periimplantitis,12,-1.775576934
Periimplantitis,12,0.149802396
Periimplantitis,12,-15.02840436
Periimplantitis,12,-5.28712624
Periimplantitis,12,-4.965422808
Periimplantitis,12,-11.18349017
Periimplantitis,12,-6.33808773
Periimplantitis,12,-2.11857184
Periimplantitis,12,6.055605747
Periimplantitis,12,-18.62870929
Periimplantitis,12,-20.20017346
Periimplantitis,12,-8.129241816
Healthy,12,-5.428161339
Healthy,12,-1.13203873
Healthy,12,-12.30483353
Healthy,12,-8.295468809
Healthy,12,-9.341633521
Healthy,12,-27.84220655
Healthy,12,-17.09769159
Healthy,12,-2.371479167
Healthy,12,-14.1003713
Healthy,12,-7.31684712
Gisngivitis,12,-8.951206184
Gisngivitis,12,-5.493614823
Gisngivitis,12,-12.81450766
Gisngivitis,12,-2.766363559
Gisngivitis,12,-4.696753051
Gisngivitis,12,-11.54882838
Gisngivitis,12,-30.78243019
Gisngivitis,12,-4.092993363
Gisngivitis,12,-6.855194513
Gisngivitis,12,17.93739339
Mucositis,12,-15.8516859
Mucositis,12,2.139315694
Mucositis,12,-16.26102281
Mucositis,12,-2.251035342
Mucositis,12,-8.421041463
Mucositis,12,-7.721550996
Mucositis,12,0.779091171
Mucositis,12,-8.163286843
Mucositis,12,-1.179621949
Mucositis,12,-3.37910802
Mucositis,12,-2.878212172
Mucositis,12,-5.678720377
Mucositis,12,-4.216487991
Mucositis,12,-17.87840161
Mucositis,12,-6.921509395
Periimplantitis,12,-13.20838823
Periimplantitis,12,-11.19788995
Periimplantitis,12,-0.785114807
Periimplantitis,12,-1.622771397
Periimplantitis,12,-14.65372642
Periimplantitis,12,-4.924751837
Periimplantitis,12,-4.170585677
Periimplantitis,12,-11.3916972
Periimplantitis,12,-6.285797337
Periimplantitis,12,-1.586985775
Periimplantitis,12,7.798460066
Periimplantitis,12,-17.73066146
Periimplantitis,12,-19.56832148
Periimplantitis,12,-8.932977869
Healthy,12,-6.456087758
Healthy,12,-1.944274283
Healthy,12,-12.84704818
Healthy,12,-7.949074142
Healthy,12,-9.109591914
Healthy,12,-28.71981788
Healthy,12,-16.42828133
Healthy,12,-2.068546169
Healthy,12,-15.8500262
Healthy,12,-6.704275592
Gisngivitis,12,-8.281545756
Gisngivitis,12,-4.671303424
Gisngivitis,12,-12.75626451
Gisngivitis,12,-1.963682268
Gisngivitis,12,-3.967747943
Gisngivitis,12,-11.32478758
Gisngivitis,12,-35.64260155
Gisngivitis,12,-4.063584965
Gisngivitis,12,-5.110373612
Gisngivitis,12,20.91619459
Mucositis,12,-15.21181709
Mucositis,12,-5.052137237
Mucositis,12,-15.15744585
Mucositis,12,-1.869136776
Mucositis,12,-7.517088171
Mucositis,12,-7.150582656
Mucositis,12,1.105300873
Mucositis,12,-7.608748898
Mucositis,12,-1.41387764
Mucositis,12,-4.904138274
Mucositis,12,-2.730956601
Mucositis,12,-4.779988121
Mucositis,12,-3.51231566
Mucositis,12,-18.3881455
Mucositis,12,-7.503213019
Periimplantitis,12,-12.07917408
Periimplantitis,12,-11.1393134
Periimplantitis,12,-0.484440808
Periimplantitis,12,-2.31660428
Periimplantitis,12,-13.12710402
Periimplantitis,12,-4.43376891
Periimplantitis,12,-4.021034256
Periimplantitis,12,-10.95805943
Periimplantitis,12,-5.244715081
Periimplantitis,12,-0.446250791
Periimplantitis,12,9.024522961
Periimplantitis,12,-16.34061745
Periimplantitis,12,-18.98830596
Periimplantitis,12,-8.638211713
Healthy,12,-6.471339132
Healthy,12,-1.980191371
Healthy,12,-12.48320173
Healthy,12,-7.603736302
Healthy,12,-8.761794311
Healthy,12,-28.58174983
Healthy,12,-15.57045922
Healthy,12,-1.831596017
Healthy,12,-14.5603494
Healthy,12,-5.979194635
Gisngivitis,12,-7.43205688
Gisngivitis,12,-3.682187063
Gisngivitis,12,-12.30643938
Gisngivitis,12,-0.797691667
Gisngivitis,12,-2.810558717
Gisngivitis,12,-10.25125322
Gisngivitis,12,-35.20903064
Gisngivitis,12,-4.156721896
Gisngivitis,12,-2.823647924
Gisngivitis,12,24.11011532
Mucositis,12,-14.46413593
Mucositis,12,-16.96463697
Mucositis,12,-14.09746717
Mucositis,12,-1.78037427
Mucositis,12,-6.274057032
Mucositis,12,-6.480735261
Mucositis,12,1.614375574
